ref, Delta, Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2, Attention,Meditation,student,Sex,ID,Group
1,1.31294361,1.59507849,2.052117647,1.194632176,2.060041601,5.915640671,4.095422302,1.010315981,83,47,01G1,F,1,G1
2,1.575985196,0.386079704,0.406564904,0.31680597,0.91392573,1.919956862,2.258598969,0.77708111,41,24,01G1,F,1,G1
3,1.128774384,0.968704094,0.533194924,0.464818833,0.879755609,2.787311403,1.821015556,0.515769624,17,21,01G1,F,1,G1
4,0.786494937,0.069951667,0.449110443,0.474002959,0.777745296,0.597580358,0.421171518,0.154089768,1,27,01G1,F,1,G1
5,0.164870496,0.61639166,0.61436027,0.944527082,2.304733006,1.755094861,1.197162168,1.269858861,1,48,01G1,F,1,G1
6,2.20310106,2.617136643,3.883186388,1.947823295,2.617764653,2.066777093,1.528319978,1.659173181,13,64,01G1,F,1,G1
7,0.675543211,0.816682894,0.717469451,1.227843461,0.973487307,2.32625184,0.757262966,0.435740218,14,77,01G1,F,1,G1
8,0.201260095,0.265279733,0.170719009,0.10353015,0.32642189,0.275882814,0.314544543,0.6879876,48,67,01G1,F,1,G1
9,2.531677205,3.233818358,1.433831645,1.785431245,0.537498785,2.193140513,3.219248611,2.061530968,60,64,01G1,F,1,G1
10,0.579104535,0.293020298,0.066368357,0.265133664,0.298419059,0.304863295,1.086507733,0.216433117,81,83,01G1,F,1,G1
11,0.392935456,0.347373437,1.671824949,1.10441437,1.205677448,1.729594879,0.869024951,1.614736964,70,63,01G1,F,1,G1
12,0.591923801,0.312889086,0.944725711,1.079691445,1.371305304,2.68474323,1.97677753,0.746351587,69,77,01G1,F,1,G1
13,1.232737024,0.24404124,0.21061384,1.143238177,1.423088317,1.885293934,3.483449917,0.692409114,87,77,01G1,F,1,G1
14,0.13080465,0.286856624,0.424180368,0.129459072,0.289529271,0.974681763,0.615295038,0.154089768,69,57,01G1,F,1,G1
15,0.327354838,1.274019514,0.417939461,0.827127974,0.853919664,0.91054114,0.554681781,0.340456589,61,50,01G1,F,1,G1
